TheTime,CH6,CH7,output,CH0,CH1,CH2
42540.02627324,0.03597491,0.1559330,,-0.001202979,0.03177638,0.2303070
42540.02638898,0.03777428,0.1571326,,-0.001202979,0.03357575,0.2297072
42540.02650472,0.03657470,0.1577324,,-0.001202979,0.03777428,0.2291074
42540.02662046,0.03477533,0.1577324,,-0.001202979,0.03717449,0.2297072
42540.02673620,0.03777428,0.1577324,,-0.001202979,0.03417554,0.2273080
42540.02685194,0.04077324,0.1571326,,-0.001202979,0.03117659,0.2231095
42540.02696768,0.04137303,0.1571326,,-0.001202979,0.03357575,0.2249089
42540.02708341,0.04137303,0.1583321,,-0.001202979,0.03957365,0.2279078
42540.02719915,0.04017344,0.1583321,,-3.916211e-07,0.04137303,0.2273080
42540.02731489,0.04017344,0.1583321,,-0.001202979,0.03777428,0.2273080
42540.02743063,0.03957365,0.1577324,,-3.916211e-07,0.03297596,0.2273080
42540.02754637,0.03837407,0.1589319,,-0.001202979,0.03357575,0.2267082
42540.02766211,0.03657470,0.1601315,,-0.001202979,0.03837407,0.2285076
42540.02777785,0.03597491,0.1601315,,-0.001202979,0.03897386,0.2297072
42540.02789358,0.03717449,0.1607313,,-0.001202979,0.04017344,0.2309068
42540.02800932,0.03837407,0.1595317,,-0.001202979,0.03957365,0.2315066
42540.02812506,0.04017344,0.1601315,,-0.001202979,0.03357575,0.2273080
42540.02824080,0.03897386,0.1619309,,-0.001202979,0.03177638,0.2237093
42540.02835654,0.03777428,0.1631305,,-0.001202979,0.03477533,0.2273080
42540.02847228,0.03777428,0.1625307,,-0.001202979,0.04077324,0.2309068
42540.02858801,0.03777428,0.1625307,,-0.001202979,0.04197282,0.2297072
42540.02870375,0.03837407,0.1601315,,-0.001202979,0.03777428,0.2285076
42540.02881949,0.03837407,0.1601315,,-0.001202979,0.03597491,0.2297072
42540.02893523,0.03957365,0.1601315,,-0.001202979,0.03537512,0.2297072
42540.02905097,0.03957365,0.1607313,,-0.001202979,0.03297596,0.2291074
42540.02916671,0.03957365,0.1595317,,-0.001202979,0.03477533,0.2285076
42540.02928245,0.04017344,0.1595317,,-0.001202979,0.03597491,0.2261085
42540.02939818,0.04077324,0.1595317,,-0.001202979,0.03477533,0.2243091
42540.02951392,0.03897386,0.1601315,,-0.001202979,0.03537512,0.2273080
42540.02962966,0.03957365,0.1601315,,-0.001202979,0.03837407,0.2297072
42540.02974540,0.03897386,0.1601315,,-0.001202979,0.04257261,0.2297072
42540.02986114,0.03777428,0.1583321,,-3.916211e-07,0.03957365,0.2297072
42540.02997688,0.03657470,0.1577324,,-0.001202979,0.03477533,0.2267082
42540.03009262,0.03777428,0.1565328,,-0.001202979,0.03357575,0.2249089
42540.03020835,0.03777428,0.1559330,,-0.001202979,0.03717449,0.2285076
42540.03032409,0.04077324,0.1547334,,-0.001202979,0.03777428,0.2291074
42540.03043983,0.04017344,0.1535338,,-0.001202979,0.03597491,0.2303070
42540.03055557,0.04077324,0.1541336,,-0.001202979,0.03897386,0.2309068
42540.03067131,0.03837407,0.1535338,,-0.001202979,0.04137303,0.2315066
42540.03078705,0.03717449,0.1541336,,-0.001202979,0.04077324,0.2327062
42540.03090279,0.03597491,0.1559330,,-0.001202979,0.03597491,0.2285076
42540.03101852,0.03657470,0.1565328,,-0.001202979,0.03117659,0.2237093
42540.03113426,0.03837407,0.1577324,,-0.001202979,0.03597491,0.2273080
42540.03125000,0.03837407,0.1595317,,-0.001202979,0.03897386,0.2303070
42540.03136574,0.03837407,0.1601315,,-0.001202979,0.03897386,0.2285076
42540.03148148,0.03957365,0.1595317,,-0.001202979,0.03477533,0.2267082
42540.03159722,0.04137303,0.1625307,,-0.001202979,0.03237617,0.2243091
42540.03171296,0.03957365,0.1619309,,-0.001202979,0.03057680,0.2237093
42540.03182870,0.03837407,0.1625307,,-3.916211e-07,0.02997701,0.2237093
42540.03194445,0.03717449,0.1625307,,-0.001202979,0.03117659,0.2237093
42540.03206019,0.03537512,0.1619309,,-3.916211e-07,0.03477533,0.2261085
42540.03217593,0.03597491,0.1643301,,-0.001202979,0.03777428,0.2273080
42540.03229167,0.03657470,0.1637303,,-0.001202979,0.03837407,0.2279078
42540.03240741,0.03597491,0.1661294,,-0.001202979,0.03657470,0.2279078
42540.03252315,0.03477533,0.1661294,,-0.001202979,0.03477533,0.2285076
42540.03263889,0.03657470,0.1679288,,-0.001202979,0.03597491,0.2297072
42540.03275463,0.03897386,0.1673290,,-0.001202979,0.03837407,0.2309068
42540.03287037,0.04077324,0.1673290,,-0.001202979,0.04017344,0.2321064
42540.03298611,0.04077324,0.1679288,,-0.001202979,0.03957365,0.2309068
42540.03310185,0.03957365,0.1685286,,-0.001202979,0.03657470,0.2309068
42540.03321759,0.03957365,0.1697282,,-0.001202979,0.03237617,0.2291074
42540.03333333,0.04077324,0.1697282,,-0.001202979,0.03117659,0.2267082
42540.03344908,0.04197282,0.1697282,,-0.001202979,0.03177638,0.2267082
42540.03356482,0.04077324,0.1697282,,-3.916211e-07,0.03297596,0.2267082
42540.03368056,0.03717449,0.1697282,,-0.001202979,0.03297596,0.2273080
42540.03379630,0.03837407,0.1691284,,-0.001202979,0.03297596,0.2279078
42540.03391204,0.03957365,0.1721273,,-0.001202979,0.02997701,0.2261085
42540.03402778,0.03957365,0.1745265,,-3.916211e-07,0.02937722,0.2249089
42540.03414352,0.03717449,0.1745265,,-0.001202979,0.03177638,0.2261085
42540.03425926,0.03417554,0.1763259,,-0.001202979,0.03357575,0.2285076
42540.03437500,0.03657470,0.1775254,,-0.001202979,0.03537512,0.2291074
42540.03449074,0.03717449,0.1775254,,-0.001202979,0.03777428,0.2303070
42540.03460648,0.03657470,0.1775254,,-0.001202979,0.03777428,0.2303070
42540.03472222,0.03657470,0.1775254,,-0.001202979,0.03657470,0.2303070
42540.03483808,0.03957365,0.1763259,,-0.001202979,0.03417554,0.2303070
42540.03495381,0.04017344,0.1769256,,-0.001202979,0.03237617,0.2279078
42540.03506955,0.03657470,0.1739267,,-0.001202979,0.03417554,0.2297072
42540.03518529,0.03717449,0.1739267,,-0.001202979,0.03477533,0.2309068
42540.03530103,0.04017344,0.1715275,,-0.001202979,0.03477533,0.2297072
42540.03541677,0.04017344,0.1721273,,-0.001202979,0.03297596,0.2279078
42540.03553251,0.03717449,0.1721273,,-0.001202979,0.03537512,0.2309068
42540.03564824,0.03717449,0.1715275,,-0.001202979,0.03777428,0.2327062
42540.03576398,0.03777428,0.1715275,,-0.001202979,0.03777428,0.2327062
42540.03587972,0.03837407,0.1715275,,-0.001202979,0.03717449,0.2327062
42540.03599546,0.04077324,0.1721273,,-0.001202979,0.03597491,0.2315066
42540.03611120,0.04077324,0.1721273,,-0.001202979,0.03897386,0.2321064
42540.03622694,0.03837407,0.1715275,,-0.001202979,0.03777428,0.2303070
42540.03634268,0.03717449,0.1721273,,-0.002405566,0.03297596,0.2285076
42540.03645841,0.03837407,0.1691284,,-0.001202979,0.03057680,0.2285076
42540.03657415,0.04737093,0.1703280,,-0.002405566,0.03117659,0.2273080
42540.03668989,0.03897386,0.1697282,,-0.001202979,0.03477533,0.2297072
42540.03680563,0.03717449,0.1697282,,-0.001202979,0.03837407,0.2321064
42540.03692137,0.03777428,0.1679288,,-0.001202979,0.03897386,0.2309068
42540.03703711,0.04017344,0.1679288,,-0.001202979,0.03537512,0.2291074
42540.03715284,0.03777428,0.1655296,,-0.001202979,0.03777428,0.2321064
42540.03726858,0.03597491,0.1679288,,-0.001202979,0.04317240,0.2363049
42540.03738432,0.03717449,0.1673290,,-0.001202979,0.04317240,0.2333059
42540.03750006,0.03957365,0.1685286,,-0.001202979,0.03957365,0.2309068
42540.03761580,0.04077324,0.1703280,,-0.001202979,0.03237617,0.2273080
42540.03773154,0.03837407,0.1691284,,-0.001202979,0.02937722,0.2255087
42540.03784728,0.03777428,0.1697282,,-3.916211e-07,0.02637827,0.2249089
42540.03796301,0.03597491,0.1703280,,-0.001202979,0.02877743,0.2249089
42540.03807875,0.03717449,0.1679288,,-0.001202979,0.03057680,0.2261085
42540.03819449,0.03837407,0.1685286,,-0.001202979,0.03357575,0.2291074
42540.03831023,0.03777428,0.1673290,,-0.001202979,0.03597491,0.2309068
42540.03842597,0.03717449,0.1661294,,-0.001202979,0.03897386,0.2315066
42540.03854171,0.03537512,0.1661294,,-0.001202979,0.03957365,0.2309068
42540.03865744,0.03417554,0.1655296,,-0.002405566,0.03357575,0.2297072
42540.03877336,0.03477533,0.1643301,,-0.001202979,0.02877743,0.2273080
42540.03888892,0.03717449,0.1637303,,-0.001202979,0.02697806,0.2261085
42540.03900466,0.03957365,0.1643301,,-0.001202979,0.03117659,0.2279078
42540.03912040,0.03837407,0.1625307,,-0.001202979,0.03537512,0.2309068
42540.03923614,0.03537512,0.1625307,,-0.001202979,0.03717449,0.2315066
42540.03935188,0.03357575,0.1613311,,-0.001202979,0.04077324,0.2327062
42540.03946761,0.03477533,0.1619309,,-0.001202979,0.04197282,0.2327062
42540.03958335,0.03477533,0.1643301,,-0.001202979,0.03777428,0.2309068
42540.03969909,0.03537512,0.1619309,,-0.001202979,0.03117659,0.2273080
42540.03981483,0.03657470,0.1619309,,-0.001202979,0.02937722,0.2249089
42540.03993057,0.03657470,0.1625307,,-0.001202979,0.03297596,0.2261085
42540.04004631,0.03657470,0.1619309,,-3.916211e-07,0.03357575,0.2267082
42540.04016204,0.03657470,0.1625307,,-0.001202979,0.03237617,0.2273080
42540.04027778,0.03657470,0.1625307,,-0.001202979,0.03657470,0.2285076
42540.04039352,0.03777428,0.1619309,,-3.916211e-07,0.04197282,0.2309068
42540.04050926,0.04137303,0.1625307,,-0.001202979,0.04017344,0.2327062
42540.04062500,0.04017344,0.1595317,,-0.001202979,0.03417554,0.2303070
42540.04074074,0.04137303,0.1601315,,-0.001202979,0.03237617,0.2273080
42540.04085648,0.04017344,0.1601315,,-0.001202979,0.03717449,0.2285076
42540.04097222,0.03777428,0.1577324,,-0.001202979,0.03657470,0.2297072
42540.04108796,0.04137303,0.1571326,,-0.001202979,0.03357575,0.2273080
